No,Name,Country,Age,Role,T20_Caps,IPL_Matches,2024_Team,Status,Reserve_Price_Lakh,battingStyle,bowlingStyle,image,matches,runs,wickets,average,strikeRate
87,Manish Pandey,IND,35,BAT,39,171,DC,CAPPED,100,,,,,,,
88,Angkrish Raghuvanshi,IND,20,BAT,0,10,KKR,UNCAPPED,50,,,,,,,
89,Anukul Roy,IND,26,BAT/SPIN,0,10,KKR,UNCAPPED,50,,,,,,,
90,Ramandeep Singh,IND,27,BAT/SEAM,2,19,KKR,CAPPED,50,,,,,,,
91,Mayank Markande,IND,27,SPIN,1,37,SRH,UNCAPPED,50,,,,,,,
92,Vaibhav Arora,IND,27,SEAM,0,20,KKR,UNCAPPED,50,,,,,,,
93,Umran Malik,IND,25,SEAM,8,26,SRH,CAPPED,50,,,,,,,
94,Abhinav Manohar,IND,30,BAT/SPIN,0,19,GT,UNCAPPED,50,,,,,,,
95,Simarjeet Singh,IND,27,SEAM,0,10,CSK,UNCAPPED,50,,,,,,,
96,Jaydev Unadkat,IND,33,SEAM,10,105,LSG,UNCAPPED,50,,,,,,,
97,Swapnil Singh,IND,34,SPIN,0,14,RCB,UNCAPPED,50,,,,,,,
98,Rasikh Dar Salam,IND,24,SEAM,0,11,DC,UNCAPPED,50,,,,,,,
99,Suyash Sharma,IND,21,SPIN,0,13,KKR,UNCAPPED,50,,,,,,,
100,Yash Dayal,IND,27,SEAM,0,28,RCB,UNCAPPED,50,,,,,,,
101,Karun Nair,IND,33,BAT,0,76,LSG,UNCAPPED,50,,,,,,,
102,Sameer Rizvi,IND,21,BAT,0,8,CSK,UNCAPPED,50,,,,,,,
103,Ashutosh Sharma,IND,26,BAT,0,11,PBKS,UNCAPPED,50,,,,,,,
104,Abishek Porel,IND,22,WK/BAT,0,18,DC,UNCAPPED,50,,,,,,,
105,Musheer Khan,IND,19,BAT,0,0,DNP,UNCAPPED,50,,,,,,,
106,Harpreet Brar,IND,29,SPIN,0,41,PBKS,UNCAPPED,50,,,,,,,
107,Kuldeep Sen,IND,28,SEAM,0,12,RR,UNCAPPED,50,,,,,,,
108,Yash Thakur,IND,26,SEAM,0,19,LSG,UNCAPPED,50,,,,,,,
109,Manimaran Siddharth,IND,26,SPIN,0,3,LSG,UNCAPPED,50,,,,,,,
110,KS Bharat,IND,31,WK/BAT,0,10,KKR,UNCAPPED,50,,,,,,,
111,Shardul Thakur,IND,33,SEAM/BAT,25,95,KKR,CAPPED,100,,,,,,,
112,Vaibhav Suryavanshi,IND,13,BAT,0,0,DNP,UNCAPPED,50,,,,,,,
113,Jos Buttler,ENG,34,WK/BAT,134,107,RR,CAPPED,200,,,,,,,
114,Mitchell Starc,AUS,35,SEAM,65,40,KKR,CAPPED,200,,,,,,,
115,Kagiso Rabada,SA,29,SEAM,65,80,PBKS,CAPPED,200,,,,,,,
116,Liam Livingstone,ENG,31,BAT/SPIN,60,39,PBKS,CAPPED,150,,,,,,,
117,Rachin Ravindra,NZ,25,BAT/SPIN,26,10,CSK,CAPPED,150,,,,,,,
118,Sam Curran,ENG,26,BAT/SEAM,58,59,PBKS,CAPPED,150,,,,,,,
119,Devon Conway,NZ,33,WK/BAT,50,23,CSK,CAPPED,200,,,,,,,
120,Jamie Overton,ENG,30,BAT/SEAM,12,0,DNP,CAPPED,100,,,,,,,
121,Matheesha Pathirana,SL,22,SEAM,19,20,CSK,CAPPED,200,,,,,,,
122,Nathan Ellis,AUS,30,SEAM,20,16,PBKS,CAPPED,100,,,,,,,
123,Noor Ahmad,AFG,20,SPIN,14,23,GT,CAPPED,100,,,,,,,
124,Shimron Hetmyer,WI,28,BAT,62,72,RR,CAPPED,100,,,,,,,
125,Wanindu Hasaranga,SL,27,SPIN/BAT,79,26,SRH,CAPPED,200,,,,,,,
126,Kwena Maphaka,SA,18,SEAM,5,2,MI,CAPPED,75,,,,,,,
127,Maheesh Theekshana,SL,24,SPIN,60,27,CSK,CAPPED,100,,,,,,,
128,Fazalhaq Farooqi,AFG,24,SEAM,43,7,SRH,CAPPED,100,,,,,,,
129,Jofra Archer,ENG,29,SEAM,34,40,MI,CAPPED,200,,,,,,,
130,Rovman Powell,WI,31,BAT,91,26,RR,CAPPED,100,,,,,,,
131,Moeen Ali,ENG,37,SPIN/BAT,92,67,CSK,CAPPED,200,,,,,,,
132,Sunil Narine,WI,36,SPIN/BAT,51,176,KKR,CAPPED,200,,,,,,,
133,Andre Russell,WI,36,BAT/SEAM,83,126,KKR,CAPPED,200,,,,,,,
134,Quinton de Kock,SA,32,WK/BAT,92,107,LSG,CAPPED,200,,,,,,,
135,Rahmanullah Gurbaz,AFG,23,WK/BAT,66,13,KKR,CAPPED,100,,,,,,,
136,Anrich Nortje,SA,31,SEAM,42,46,DC,CAPPED,200,,,,,,,
137,Spencer Johnson,AUS,29,SEAM,8,5,GT,CAPPED,100,,,,,,,
138,Travis Head,AUS,31,BAT,38,25,SRH,CAPPED,200,,,,,,,
139,Kamindu Mendis,SL,26,BAT,23,0,DNP,CAPPED,75,,,,,,,
140,Heinrich Klaasen,SA,33,WK/BAT,58,35,SRH,CAPPED,200,,,,,,,
141,Pat Cummins,AUS,31,SEAM,57,58,SRH,CAPPED,200,,,,,,,
142,Adam Zampa,AUS,32,SPIN,95,20,RR,CAPPED,100,,,,,,,
143,Brydon Carse,ENG,29,SEAM,8,0,DNP,CAPPED,50,,,,,,,
144,Tim David,AUS,28,BAT,54,38,MI,CAPPED,200,,,,,,,
145,Jacob Bethell,ENG,21,BAT/SPIN,10,0,DNP,CAPPED,50,,,,,,,
146,Romario Shepherd,WI,30,BAT/SEAM,53,10,MI,CAPPED,50,,,,,,,
147,Philip Salt,ENG,28,WK/BAT,43,21,KKR,CAPPED,200,,,,,,,
148,Josh Hazlewood,AUS,34,SEAM,52,27,CSK,CAPPED,100,,,,,,,
149,Lungi Ngidi,SA,28,SEAM,43,14,DC,CAPPED,100,,,,,,,
150,Nuwan Thushara,SL,30,SEAM,18,7,MI,CAPPED,100,,,,,,,
151,Faf du Plessis,SA,40,BAT,50,145,RCB,CAPPED,200,,,,,,,
152,Harry Brook,ENG,25,BAT,44,11,SRH,CAPPED,200,,,,,,,
153,Jake Fraser-McGurk,AUS,22,BAT,7,9,DC,CAPPED,200,,,,,,,
154,Tristan Stubbs,SA,24,WK/BAT,35,18,DC,CAPPED,200,,,,,,,
155,Dushmantha Chameera,SL,33,SEAM,55,13,KKR,CAPPED,50,,,,,,,
156,Marcus Stoinis,AUS,35,BAT/SEAM,74,96,LSG,CAPPED,150,,,,,,,
157,Glenn Maxwell,AUS,36,BAT/SPIN,116,134,RCB,CAPPED,200,,,,,,,
158,Aaron Hardie,AUS,26,BAT/SEAM,13,0,DNP,CAPPED,75,,,,,,,
159,Azmatullah Omarzai,AFG,24,BAT/SEAM,47,7,GT,CAPPED,100,,,,,,,
160,Marco Jansen,SA,24,BAT/SEAM,18,21,SRH,CAPPED,150,,,,,,,
161,Josh Inglis,AUS,29,WK/BAT,29,0,DNP,CAPPED,75,,,,,,,
162,Lockie Ferguson,NZ,33,SEAM,43,45,RCB,CAPPED,100,,,,,,,
163,Trent Boult,NZ,35,SEAM,61,103,RR,CAPPED,200,,,,,,,
164,Reece Topley,ENG,30,SEAM,8,5,RCB,CAPPED,50,,,,,,,
165,Allah Ghazanfar,AFG,18,SPIN,0,0,DNP,UNCAPPED,75,,,,,,,
166,Ryan Rickelton,SA,28,WK/BAT,13,0,DNP,CAPPED,100,,,,,,,
167,Mitchell Santner,NZ,33,SPIN/BAT,109,18,CSK,CAPPED,200,,,,,,,
168,Will Jacks,ENG,26,BAT/SPIN,23,8,RCB,CAPPED,200,,,,,,,
169,Glenn Phillips,NZ,28,BAT/SPIN,83,8,SRH,CAPPED,150,,,,,,,
